Param,value,.lower,.upper,.width,.point,.interval
a,4.604432908558204,4.337583092462631,5.044629320237846,0.95,median,qi
b,1.33232328810094,1.061711477081578,1.6067304720481561,0.95,median,qi
rho,1.010341407570251,0.7906704576171667,1.2583248094355182,0.95,median,qi
