"PFT_final","PFT_name","TaxaName","TaxaLevel","Species","Genus","Family","maximum_height"
1,"emergent","Gluta","genus","NA","Gluta","Anacardiaceae",32
1,"emergent","Xylopia","genus","NA","Xylopia","Annonaceae",30
1,"emergent","Alstonia","genus","NA","Alstonia","Apocynaceae",38
1,"emergent","Alstonia iwahigensis","species","iwahigensis","Alstonia","Apocynaceae",38
1,"emergent","Parinari oblongifolia","species","oblongifolia","Parinari","Chrysobalanaceae",33
1,"emergent","Alangium","genus","NA","Alangium","Cornaceae",31
1,"emergent","Alangium javanicum","species","javanicum","Alangium","Cornaceae",31
1,"emergent","Dipterocarpus","genus","NA","Dipterocarpus","Dipterocarpaceae",35
1,"emergent","Dipterocarpus caudiferus","species","caudiferus","Dipterocarpus","Dipterocarpaceae",35
1,"emergent","Dipterocarpus kunstleri","species","kunstleri","Dipterocarpus","Dipterocarpaceae",30
1,"emergent","Dryobalanops lanceolata","species","lanceolata","Dryobalanops","Dipterocarpaceae",38
1,"emergent","Parashorea","genus","NA","Parashorea","Dipterocarpaceae",38
1,"emergent","Parashorea malaanonan","species","malaanonan","Parashorea","Dipterocarpaceae",35
1,"emergent","Parashorea tomentella","species","tomentella","Parashorea","Dipterocarpaceae",38
1,"emergent","Shorea","genus","NA","Shorea","Dipterocarpaceae",49
1,"emergent","Shorea agami","species","agami","Shorea","Dipterocarpaceae",35
1,"emergent","Shorea angustifolia","species","angustifolia","Shorea","Dipterocarpaceae",14
1,"emergent","Shorea argentifolia","species","argentifolia","Shorea","Dipterocarpaceae",40
1,"emergent","Shorea atrinervosa","species","atrinervosa","Shorea","Dipterocarpaceae",37
1,"emergent","Shorea beccariana","species","beccariana","Shorea","Dipterocarpaceae",18
1,"emergent","Shorea biawak","species","biawak","Shorea","Dipterocarpaceae",32
1,"emergent","Shorea bracteolata","species","bracteolata","Shorea","Dipterocarpaceae",19
1,"emergent","Shorea curtisii","species","curtisii","Shorea","Dipterocarpaceae",27
1,"emergent","Shorea faguetiana","species","faguetiana","Shorea","Dipterocarpaceae",20
1,"emergent","Shorea faguetioides","species","faguetioides","Shorea","Dipterocarpaceae",30
1,"emergent","Shorea falciferoides","species","falciferoides","Shorea","Dipterocarpaceae",24
1,"emergent","Shorea fallax","species","fallax","Shorea","Dipterocarpaceae",24
1,"emergent","Shorea foxworthyi","species","foxworthyi","Shorea","Dipterocarpaceae",41
1,"emergent","Shorea gibbosa","species","gibbosa","Shorea","Dipterocarpaceae",49
1,"emergent","Shorea hopeifolia","species","hopeifolia","Shorea","Dipterocarpaceae",8
1,"emergent","Shorea inappendiculata","species","inappendiculata","Shorea","Dipterocarpaceae",15
1,"emergent","Shorea johorensis","species","johorensis","Shorea","Dipterocarpaceae",37
1,"emergent","Shorea laevis","species","laevis","Shorea","Dipterocarpaceae",40
1,"emergent","Shorea leprosula","species","leprosula","Shorea","Dipterocarpaceae",25
1,"emergent","Shorea leptoderma","species","leptoderma","Shorea","Dipterocarpaceae",32
1,"emergent","Shorea macrophylla","species","macrophylla","Shorea","Dipterocarpaceae",22
1,"emergent","Shorea macroptera","species","macroptera","Shorea","Dipterocarpaceae",35
1,"emergent","Shorea obscura","species","obscura","Shorea","Dipterocarpaceae",23
1,"emergent","Shorea ovalis","species","ovalis","Shorea","Dipterocarpaceae",22
1,"emergent","Shorea ovata","species","ovata","Shorea","Dipterocarpaceae",38
1,"emergent","Shorea parvifolia","species","parvifolia","Shorea","Dipterocarpaceae",35
1,"emergent","Shorea parvistipulata","species","parvistipulata","Shorea","Dipterocarpaceae",35
1,"emergent","Shorea pauciflora","species","pauciflora","Shorea","Dipterocarpaceae",39
1,"emergent","Shorea pilosa","species","pilosa","Shorea","Dipterocarpaceae",11
1,"emergent","Shorea pinanga","species","pinanga","Shorea","Dipterocarpaceae",12
1,"emergent","Shorea platyclados","species","platyclados","Shorea","Dipterocarpaceae",33
1,"emergent","Shorea smithiana","species","smithiana","Shorea","Dipterocarpaceae",24
1,"emergent","Shorea superba","species","superba","Shorea","Dipterocarpaceae",37
1,"emergent","Shorea symingtonii","species","symingtonii","Shorea","Dipterocarpaceae",36
1,"emergent","Dialium","genus","NA","Dialium","Fabaceae",38
1,"emergent","Sindora","genus","NA","Sindora","Fabaceae",39
1,"emergent","Castanopsis","genus","NA","Castanopsis","Fagaceae",19
1,"emergent","Castanopsis hypophoenicea","species","hypophoenicea","Castanopsis","Fagaceae",9
1,"emergent","Castanopsis megacarpa","species","megacarpa","Castanopsis","Fagaceae",8
1,"emergent","Castanopsis motleyana","species","motleyana","Castanopsis","Fagaceae",17
1,"emergent","Lithocarpus","genus","NA","Lithocarpus","Fagaceae",32
1,"emergent","Duabanga moluccana","species","moluccana","Duabanga","Lythraceae",31
1,"emergent","Brownlowia peltata","species","peltata","Brownlowia","Malvaceae",28
1,"emergent","Heritiera","genus","NA","Heritiera","Malvaceae",29
1,"emergent","Heritiera simplicifolia","species","simplicifolia","Heritiera","Malvaceae",13
1,"emergent","Pentace","genus","NA","Pentace","Malvaceae",26
1,"emergent","Pentace adenophora","species","adenophora","Pentace","Malvaceae",24
1,"emergent","Pentace cf. adenophora","species","cf. adenophora","Pentace","Malvaceae",6
1,"emergent","Aglaia","genus","NA","Aglaia","Meliaceae",30
1,"emergent","Artocarpus","genus","NA","Artocarpus","Moraceae",23
1,"emergent","Artocarpus anisophyllus","species","anisophyllus","Artocarpus","Moraceae",19
1,"emergent","Artocarpus elasticus","species","elasticus","Artocarpus","Moraceae",23
1,"emergent","Artocarpus integer","species","integer","Artocarpus","Moraceae",12
1,"emergent","Artocarpus lamellosus","species","lamellosus","Artocarpus","Moraceae",9
1,"emergent","Artocarpus lanceifolius","species","lanceifolius","Artocarpus","Moraceae",8
1,"emergent","Artocarpus tamaran","species","tamaran","Artocarpus","Moraceae",9
1,"emergent","Parartocarpus bracteatus","species","bracteatus","Parartocarpus","Moraceae",9
1,"emergent","Neolamarckia cadamba","species","cadamba","Neolamarckia","Rubiaceae",34
2,"overstory","Gluta wallichii","species","wallichii","Gluta","Anacardiaceae",23
2,"overstory","Xylopia ferruginea","species","ferruginea","Xylopia","Annonaceae",23
2,"overstory","Xylopia sumatrana","species","sumatrana","Xylopia","Annonaceae",25
2,"overstory","Dacryodes","genus","NA","Dacryodes","Burseraceae",23
2,"overstory","Dacryodes rostrata","species","rostrata","Dacryodes","Burseraceae",23
2,"overstory","Santiria","genus","NA","Santiria","Burseraceae",23
2,"overstory","Santiria laevigata","species","laevigata","Santiria","Burseraceae",23
2,"overstory","Lophopetalum","genus","NA","Lophopetalum","Celastraceae",22
2,"overstory","Dillenia borneensis","species","borneensis","Dillenia","Dilleniaceae",23
2,"overstory","Hopea nervosa","species","nervosa","Hopea","Dipterocarpaceae",13
2,"overstory","Shorea xanthophylla","species","xanthophylla","Shorea","Dipterocarpaceae",9
2,"overstory","Vatica","genus","NA","Vatica","Dipterocarpaceae",27
2,"overstory","Vatica albiramis","species","albiramis","Vatica","Dipterocarpaceae",27
2,"overstory","Vatica dulitensis","species","dulitensis","Vatica","Dipterocarpaceae",21
2,"overstory","Diospyros","genus","NA","Diospyros","Ebenaceae",23
2,"overstory","Blumeodendron tokbrai","species","tokbrai","Blumeodendron","Euphorbiaceae",22
2,"overstory","Cassia javanica","species","javanica","Cassia","Fabaceae",21
2,"overstory","Cynometra","genus","NA","Cynometra","Fabaceae",25
2,"overstory","Sympetalandra borneensis","species","borneensis","Sympetalandra","Fabaceae",22
2,"overstory","Lithocarpus blumeanus","species","blumeanus","Lithocarpus","Fagaceae",23
2,"overstory","Lithocarpus echinifer","species","echinifer","Lithocarpus","Fagaceae",25
2,"overstory","Lithocarpus turbinatus","species","turbinatus","Lithocarpus","Fagaceae",21
2,"overstory","Quercus argentata","species","argentata","Quercus","Fagaceae",22
2,"overstory","Quercus elmeri","species","elmeri","Quercus","Fagaceae",24
2,"overstory","Eusideroxylon zwageri","species","zwageri","Eusideroxylon","Lauraceae",27
2,"overstory","Litsea","genus","NA","Litsea","Lauraceae",25
2,"overstory","Litsea angulata","species","angulata","Litsea","Lauraceae",25
2,"overstory","Barringtonia","genus","NA","Barringtonia","Lecythidaceae",23
2,"overstory","Durio","genus","NA","Durio","Malvaceae",24
2,"overstory","Durio graveolens","species","graveolens","Durio","Malvaceae",24
2,"overstory","Durio oxleyanus","species","oxleyanus","Durio","Malvaceae",22
2,"overstory","Microcos","genus","NA","Microcos","Malvaceae",23
2,"overstory","Pentace laxiflora","species","laxiflora","Pentace","Malvaceae",26
2,"overstory","Sterculia","genus","NA","Sterculia","Malvaceae",25
2,"overstory","Lansium","genus","NA","Lansium","Meliaceae",21
2,"overstory","Ficus","genus","NA","Ficus","Moraceae",24
2,"overstory","Syzygium","genus","NA","Syzygium","Myrtaceae",25
2,"overstory","Syzygium grande","species","grande","Syzygium","Myrtaceae",21
2,"overstory","Syzygium leucocladum","species","leucocladum","Syzygium","Myrtaceae",21
2,"overstory","Tristaniopsis","genus","NA","Tristaniopsis","Myrtaceae",23
2,"overstory","Tristaniopsis beccarii","species","beccarii","Tristaniopsis","Myrtaceae",23
2,"overstory","Tristaniopsis obovata","species","obovata","Tristaniopsis","Myrtaceae",23
2,"overstory","Tristaniopsis whiteana","species","whiteana","Tristaniopsis","Myrtaceae",22
2,"overstory","Ochanostachys amentacea","species","amentacea","Ochanostachys","Olacaceae",21
2,"overstory","Aporosa","genus","NA","Aporosa","Phyllanthaceae",21
2,"overstory","Baccaurea","genus","NA","Baccaurea","Phyllanthaceae",26
2,"overstory","Baccaurea minor","species","minor","Baccaurea","Phyllanthaceae",26
2,"overstory","Glochidion","genus","NA","Glochidion","Phyllanthaceae",21
2,"overstory","Glochidion glomerulatum","species","glomerulatum","Glochidion","Phyllanthaceae",21
2,"overstory","Xanthophyllum","genus","NA","Xanthophyllum","Polygalaceae",24
2,"overstory","Drypetes","genus","NA","Drypetes","Putranjivaceae",25
2,"overstory","Drypetes castilloi","species","castilloi","Drypetes","Putranjivaceae",25
2,"overstory","Carallia brachiata","species","brachiata","Carallia","Rhizophoraceae",22
2,"overstory","Nauclea","genus","NA","Nauclea","Rubiaceae",25
2,"overstory","Maclurodendron porteri","species","porteri","Maclurodendron","Rutaceae",23
2,"overstory","Nephelium","genus","NA","Nephelium","Sapindaceae",21
2,"overstory","Palaquium","genus","NA","Palaquium","Sapotaceae",22
2,"overstory","Palaquium beccarianum","species","beccarianum","Palaquium","Sapotaceae",8
2,"overstory","Palaquium dasyphyllum","species","dasyphyllum","Palaquium","Sapotaceae",15
2,"overstory","Palaquium eriocalyx","species","eriocalyx","Palaquium","Sapotaceae",15
2,"overstory","Palaquium hexandrum","species","hexandrum","Palaquium","Sapotaceae",13
