Parameter,value,.lower,.upper,.width,.point,.interval
km,0.004158025692799288,0.003785112016441788,0.0047863741303635484,0.95,median,qi
ks,0.0017018573902211282,0.0010567122421265734,0.002246431018450862,0.95,median,qi
logitfM,3.1865195451319623,1.721802533076223,5.435365459002206,0.95,median,qi
sN,0.42835536866147306,0.11878302390162218,0.9290067485575786,0.95,median,qi
sP,0.0024005014015071003,6.521088151414377e-4,0.005532155222901068,0.95,median,qi
kw,0.0010321111734133343,0.0016503968950762119,4.138254517504564e-4,0.95,mean,ci
r,-6.026344821473676,-14.361399948274425,2.3087103053270726,0.95,mean,ci
