pool,stock,method
aboveground metabolic,0.06769232140012325,field
aboveground structural,0.13169254986224194,field
belowground metabolic,2.2704664841067978e-4,equilibrium
belowground structural,4.953821911441512,equilibrium
wood,6.18407943821305,field
